Anlauflaenge;Richtung;Verzoegerung;gefoult;Ort;Kurve;Wichtig;Zuschauer;Ziel
lang;vonLinks;nein;nein;Auswaerts;vorGeger;ja;28539;linksOben
lang;vonRechts;nein;ja;Auswaerts;vorFans;ja;47934;linksOben
mittel;vonLinks;nein;ja;Heimspiel;vorGeger;ja;23642;rechtsUnten
lang;vonRechts;nein;ja;Auswaerts;vorFans;ja;24077;rechtsOben
mittel;vonRechts;nein;nein;Heimspiel;vorFans;ja;42759;linksOben
kurz;vonLinks;ja;nein;Auswaerts;vorFans;ja;26487;linksOben
mittel;vonRechts;nein;nein;Heimspiel;vorGeger;nein;51739;mitteUnten
mittel;mitte;nein;nein;Auswaerts;vorGeger;ja;24249;rechtsOben
mittel;vonRechts;nein;nein;Auswaerts;vorFans;ja;41906;mitteOben
lang;vonLinks;nein;nein;Auswaerts;vorFans;ja;23535;linksOben
lang;vonLinks;nein;nein;Auswaerts;vorFans;nein;25999;rechtsOben
lang;mitte;nein;nein;Heimspiel;vorGeger;nein;17703;linksOben
kurz;vonLinks;nein;nein;Auswaerts;vorGeger;ja;40563;linksOben
mittel;mitte;nein;ja;Heimspiel;vorFans;ja;26948;rechtsUnten
mittel;mitte;nein;ja;Heimspiel;vorGeger;ja;27616;rechtsUnten
mittel;mitte;nein;nein;Auswaerts;vorFans;ja;21510;rechtsOben
kurz;mitte;nein;ja;Auswaerts;vorFans;ja;36143;rechtsOben
kurz;mitte;nein;nein;Heimspiel;vorFans;ja;22660;linksOben
kurz;vonRechts;nein;ja;Heimspiel;vorFans;ja;24208;rechtsUnten
mittel;vonLinks;nein;nein;Auswaerts;vorFans;nein;40956;rechtsOben
mittel;vonLinks;nein;ja;Auswaerts;vorFans;ja;38084;linksOben
mittel;vonLinks;nein;nein;Heimspiel;vorFans;nein;42876;linksOben
kurz;vonRechts;nein;ja;Auswaerts;vorFans;ja;23972;rechtsOben
mittel;vonRechts;ja;nein;Auswaerts;vorGeger;ja;49900;rechtsOben
mittel;vonRechts;nein;nein;Heimspiel;vorGeger;ja;48878;linksOben
lang;vonRechts;nein;nein;Heimspiel;vorGeger;ja;46036;mitteUnten
kurz;vonLinks;nein;nein;Heimspiel;vorFans;nein;44057;mitteOben
lang;mitte;nein;nein;Heimspiel;vorFans;ja;25156;linksOben
kurz;vonRechts;nein;nein;Auswaerts;vorFans;nein;42854;rechtsOben
mittel;vonLinks;nein;ja;Auswaerts;vorFans;nein;47428;linksOben
mittel;vonLinks;nein;nein;Heimspiel;vorGeger;ja;41168;mitteUnten
lang;vonLinks;nein;nein;Heimspiel;vorGeger;nein;44098;mitteUnten
lang;vonRechts;nein;ja;Heimspiel;vorGeger;ja;45762;rechtsUnten
mittel;vonLinks;nein;nein;Auswaerts;vorFans;ja;25209;linksOben
kurz;vonRechts;nein;nein;Heimspiel;vorGeger;ja;22947;rechtsOben
mittel;vonRechts;nein;nein;Heimspiel;vorFans;ja;27760;linksOben
lang;vonLinks;nein;ja;Heimspiel;vorGeger;ja;38429;rechtsUnten
mittel;mitte;nein;ja;Heimspiel;vorFans;nein;43602;rechtsUnten
kurz;vonLinks;nein;nein;Auswaerts;vorFans;ja;31435;linksOben
kurz;mitte;nein;nein;Auswaerts;vorFans;nein;48109;rechtsOben
lang;vonLinks;nein;nein;Heimspiel;vorGeger;ja;34992;rechtsOben
mittel;mitte;nein;nein;Heimspiel;vorGeger;nein;46230;linksOben
mittel;vonRechts;nein;nein;Auswaerts;vorGeger;ja;17263;rechtsOben
kurz;vonLinks;nein;nein;Auswaerts;vorGeger;ja;23370;linksOben
kurz;vonLinks;nein;nein;Auswaerts;vorFans;ja;34043;linksOben
mittel;mitte;nein;nein;Heimspiel;vorFans;ja;19399;linksOben
mittel;mitte;nein;ja;Heimspiel;vorFans;ja;49516;rechtsUnten
mittel;mitte;nein;nein;Auswaerts;vorFans;ja;31190;linksOben
kurz;mitte;nein;nein;Heimspiel;vorFans;ja;43966;linksOben
lang;vonRechts;nein;nein;Heimspiel;vorFans;ja;21972;mitteOben
